iter	Passed	Remaining
0	23	23132
1	49	24658
2	72	24023
3	98	24590
4	125	25036
5	156	25907
6	260	36981
7	345	42788
8	406	44792
9	454	44993
10	479	43086
11	504	41528
12	528	40135
13	554	39086
14	586	38487
15	611	37578
16	635	36740
17	659	35953
18	683	35300
19	709	34775
20	744	34715
21	767	34139
22	793	33689
23	816	33224
24	843	32895
25	865	32426
26	891	32110
27	923	32050
28	948	31751
29	972	31459
30	995	31107
31	1020	30858
32	1044	30610
33	1078	30627
34	1102	30398
35	1125	30151
36	1150	29939
37	1174	29722
38	1195	29468
39	1223	29359
40	1251	29265
41	1276	29107
42	1305	29053
43	1340	29131
44	1369	29066
45	1402	29082
46	1427	28952
47	1452	28812
48	1474	28610
49	1497	28461
50	1521	28312
51	1548	28238
52	1578	28213
53	1605	28125
54	1636	28116
55	1661	28002
56	1686	27896
57	1724	28010
58	1756	28010
59	1791	28066
60	1825	28103
61	1862	28179
62	1900	28268
63	1931	28251
64	1962	28235
65	1992	28197
66	2025	28210
67	2056	28182
68	2087	28160
69	2115	28103
70	2138	27976
71	2165	27906
72	2192	27837
73	2226	27863
74	2267	27968
75	2300	27964
76	2331	27948
77	2358	27877
78	2389	27860
79	2425	27892
80	2451	27816
81	2478	27748
82	2507	27698
83	2534	27641
84	2568	27649
85	2601	27646
86	2629	27590
87	2655	27525
88	2681	27449
89	2706	27366
90	2746	27438
91	2772	27365
92	2799	27306
93	2828	27258
94	2852	27174
95	2887	27192
96	2917	27160
97	2943	27093
98	2969	27022
99	2995	26960
100	3019	26878
101	3050	26853
102	3078	26812
103	3102	26730
104	3126	26653
105	3152	26590
106	3177	26520
107	3206	26485
108	3250	26568
109	3278	26525
110	3305	26477
111	3331	26412
112	3355	26337
113	3385	26308
114	3419	26312
115	3445	26259
116	3472	26205
117	3496	26137
118	3523	26088
119	3560	26110
120	3589	26075
121	3618	26040
122	3645	25989
123	3671	25935
124	3701	25911
125	3736	25915
126	3765	25886
127	3795	25856
128	3823	25818
129	3850	25766
130	3888	25793
131	3912	25727
132	3934	25648
133	3956	25567
134	3977	25487
135	4000	25416
136	4024	25353
137	4053	25318
138	4073	25232
139	4095	25157
140	4117	25085
141	4139	25010
142	4158	24921
143	4180	24849
144	4215	24857
145	4246	24838
146	4271	24789
147	4297	24740
148	4318	24664
149	4339	24588
150	4368	24559
151	4396	24528
152	4418	24459
153	4443	24412
154	4469	24363
